strain,locusId,gene_id,gene_name,description
HerbieS,HSERO_RS04760,HerbieS:HSERO_RS04760,HSERO_RS04760,FMN reductase
HerbieS,HSERO_RS15745,HerbieS:HSERO_RS15745,HSERO_RS15745,molecular chaperone HscA
HerbieS,HSERO_RS19370,HerbieS:HSERO_RS19370,HSERO_RS19370,gluconolactonase
HerbieS,HSERO_RS19555,HerbieS:HSERO_RS19555,HSERO_RS19555,membrane protein
HerbieS,HSERO_RS11050,HerbieS:HSERO_RS11050,HSERO_RS11050,peptidase S66
HerbieS,HSERO_RS06885,HerbieS:HSERO_RS06885,HSERO_RS06885,transcriptional regulator
HerbieS,HSERO_RS05520,HerbieS:HSERO_RS05520,HSERO_RS05520,phosphogluconate dehydratase
HerbieS,HSERO_RS21670,HerbieS:HSERO_RS21670,HSERO_RS21670,tRNA modification GTPase TrmE
HerbieS,HSERO_RS19190,HerbieS:HSERO_RS19190,HSERO_RS19190,"glutamate-1-semialdehyde 2,1-aminomutase"
HerbieS,HSERO_RS14650,HerbieS:HSERO_RS14650,HSERO_RS14650,porphyrin biosynthesis protein
HerbieS,HSERO_RS16525,HerbieS:HSERO_RS16525,HSERO_RS16525,chorismate synthase
HerbieS,HSERO_RS01645,HerbieS:HSERO_RS01645,HSERO_RS01645,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
HerbieS,HSERO_RS03370,HerbieS:HSERO_RS03370,HSERO_RS03370,phosphoribosylaminoimidazole carboxylase
HerbieS,HSERO_RS02185,HerbieS:HSERO_RS02185,HSERO_RS02185,DeoR family transcriptional regulator
HerbieS,HSERO_RS21780,HerbieS:HSERO_RS21780,HSERO_RS21780,uroporphyrinogen decarboxylase
HerbieS,HSERO_RS01895,HerbieS:HSERO_RS01895,HSERO_RS01895,hypothetical protein
HerbieS,HSERO_RS10725,HerbieS:HSERO_RS10725,HSERO_RS10725,DNA polymerase III
HerbieS,HSERO_RS14660,HerbieS:HSERO_RS14660,HSERO_RS14660,uroporphyrinogen III synthase
HerbieS,HSERO_RS13945,HerbieS:HSERO_RS13945,HSERO_RS13945,ABC transporter ATP-binding protein
HerbieS,HSERO_RS09410,HerbieS:HSERO_RS09410,HSERO_RS09410,ribonuclease E
HerbieS,HSERO_RS01980,HerbieS:HSERO_RS01980,HSERO_RS01980,ribonuclease II
HerbieS,HSERO_RS10820,HerbieS:HSERO_RS10820,HSERO_RS10820,cell division protein
HerbieS,HSERO_RS10740,HerbieS:HSERO_RS10740,HSERO_RS10740,alanine racemase
HerbieS,HSERO_RS07045,HerbieS:HSERO_RS07045,HSERO_RS07045,phosphopantothenate synthase
HerbieS,HSERO_RS02360,HerbieS:HSERO_RS02360,HSERO_RS02360,ADP-heptose--LPS heptosyltransferase
HerbieS,HSERO_RS04305,HerbieS:HSERO_RS04305,HSERO_RS04305,glycosyltransferase
HerbieS,HSERO_RS03140,HerbieS:HSERO_RS03140,HSERO_RS03140,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase
HerbieS,HSERO_RS14805,HerbieS:HSERO_RS14805,HSERO_RS14805,membrane protein
HerbieS,HSERO_RS01665,HerbieS:HSERO_RS01665,HSERO_RS01665,UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-UDP N-acetylglucosamine transferase
HerbieS,HSERO_RS21460,HerbieS:HSERO_RS21460,HSERO_RS21460,hypothetical protein
HerbieS,HSERO_RS21400,HerbieS:HSERO_RS21400,HSERO_RS21400,tRNA nucleotidyl transferase
HerbieS,HSERO_RS23875,HerbieS:HSERO_RS23875,HSERO_RS23875,lipoate-protein ligase B
HerbieS,HSERO_RS21775,HerbieS:HSERO_RS21775,HSERO_RS21775,primosome assembly protein PriA
HerbieS,HSERO_RS21360,HerbieS:HSERO_RS21360,HSERO_RS21360,glutamyl-tRNA reductase
HerbieS,HSERO_RS05875,HerbieS:HSERO_RS05875,HSERO_RS05875,3-deoxy-manno-octulosonate cytidylyltransferase
HerbieS,HSERO_RS09345,HerbieS:HSERO_RS09345,HSERO_RS09345,tRNA(Ile)-lysidine synthetase
HerbieS,HSERO_RS20960,HerbieS:HSERO_RS20960,HSERO_RS20960,oxygenase
HerbieS,HSERO_RS03375,HerbieS:HSERO_RS03375,HSERO_RS03375,translation factor Sua5
HerbieS,HSERO_RS03535,HerbieS:HSERO_RS03535,HSERO_RS03535,4-hydroxythreonine-4-phosphate dehydrogenase
HerbieS,HSERO_RS13030,HerbieS:HSERO_RS13030,HSERO_RS13030,folate-binding protein
HerbieS,HSERO_RS07060,HerbieS:HSERO_RS07060,HSERO_RS07060,riboflavin kinase
HerbieS,HSERO_RS18235,HerbieS:HSERO_RS18235,HSERO_RS18235,diaminohydroxyphosphoribosylaminopyrimidine deaminase
HerbieS,HSERO_RS05525,HerbieS:HSERO_RS05525,HSERO_RS05525,ketohydroxyglutarate aldolase
HerbieS,HSERO_RS01755,HerbieS:HSERO_RS01755,HSERO_RS01755,dephospho-CoA kinase
HerbieS,HSERO_RS05865,HerbieS:HSERO_RS05865,HSERO_RS05865,tetraacyldisaccharide 4'-kinase
HerbieS,HSERO_RS07905,HerbieS:HSERO_RS07905,HSERO_RS07905,hypothetical protein
HerbieS,HSERO_RS21505,HerbieS:HSERO_RS21505,HSERO_RS21505,pantothenate kinase
HerbieS,HSERO_RS22110,HerbieS:HSERO_RS22110,HSERO_RS22110,glucosamine-1-phosphate N-acetyltransferase
HerbieS,HSERO_RS21510,HerbieS:HSERO_RS21510,HSERO_RS21510,biotin--[acetyl-CoA-carboxylase] synthetase
HerbieS,HSERO_RS04185,HerbieS:HSERO_RS04185,HSERO_RS04185,tRNA delta(2)-isopentenylpyrophosphate transferase
HerbieS,HSERO_RS15845,HerbieS:HSERO_RS15845,HSERO_RS15845,uracil DNA glycosylase
HerbieS,HSERO_RS01640,HerbieS:HSERO_RS01640,HSERO_RS01640,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase"
HerbieS,HSERO_RS03590,HerbieS:HSERO_RS03590,HSERO_RS03590,apolipoprotein N-acyltransferase
HerbieS,HSERO_RS05610,HerbieS:HSERO_RS05610,HSERO_RS05610,fumarylacetoacetase
HerbieS,HSERO_RS01655,HerbieS:HSERO_RS01655,HSERO_RS01655,UDP-N-acetylmuramoylalanine ligase
HerbieS,HSERO_RS18370,HerbieS:HSERO_RS18370,HSERO_RS18370,DNA polymerase III subunit gamma/tau
HerbieS,HSERO_RS23320,HerbieS:HSERO_RS23320,HSERO_RS23320,rod shape-determining protein MreC
HerbieS,HSERO_RS08980,HerbieS:HSERO_RS08980,HSERO_RS08980,GNAT family acetyltransferase
HerbieS,HSERO_RS14665,HerbieS:HSERO_RS14665,HSERO_RS14665,porphobilinogen deaminase
HerbieS,HSERO_RS10715,HerbieS:HSERO_RS10715,HSERO_RS10715,peptidase
HerbieS,HSERO_RS03505,HerbieS:HSERO_RS03505,HSERO_RS03505,2-octaprenyl-6-methoxyphenyl hydroxylase
HerbieS,HSERO_RS15185,HerbieS:HSERO_RS15185,HSERO_RS15185,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
HerbieS,HSERO_RS19130,HerbieS:HSERO_RS19130,HSERO_RS19130,geranyl transferase
HerbieS,HSERO_RS01330,HerbieS:HSERO_RS01330,HSERO_RS01330,RND transporter
HerbieS,HSERO_RS16830,HerbieS:HSERO_RS16830,HSERO_RS16830,thiamine monophosphate kinase
Kang,B158DRAFT_1537,Kang:B158DRAFT_1537,B158DRAFT_1537,hypothetical protein
Kang,B158DRAFT_2248,Kang:B158DRAFT_2248,B158DRAFT_2248,hypothetical protein
Kang,B158DRAFT_0019,Kang:B158DRAFT_0019,B158DRAFT_0019,Protein of unknown function (DUF3037).
Kang,B158DRAFT_2348,Kang:B158DRAFT_2348,B158DRAFT_2348,"ABC-type polysaccharide/polyol phosphate export systems, permease component"
Kang,B158DRAFT_2349,Kang:B158DRAFT_2349,B158DRAFT_2349,"ABC-type polysaccharide/polyol phosphate transport system, ATPase component"
Kang,B158DRAFT_2350,Kang:B158DRAFT_2350,B158DRAFT_2350,Capsule polysaccharide export protein
Kang,B158DRAFT_1538,Kang:B158DRAFT_1538,B158DRAFT_1538,Uncharacterized conserved protein
Kang,B158DRAFT_1088,Kang:B158DRAFT_1088,B158DRAFT_1088,Beta-barrel assembly machine subunit BamA
Kang,B158DRAFT_1054,Kang:B158DRAFT_1054,B158DRAFT_1054,hypothetical protein
Kang,B158DRAFT_1052,Kang:B158DRAFT_1052,B158DRAFT_1052,Biopolymer transport protein
Kang,B158DRAFT_0711,Kang:B158DRAFT_0711,B158DRAFT_0711,protein translocase subunit secB
Kang,B158DRAFT_0345,Kang:B158DRAFT_0345,B158DRAFT_0345,"transcriptional regulator, ArsR family"
Kang,B158DRAFT_0327,Kang:B158DRAFT_0327,B158DRAFT_0327,hypothetical protein
Kang,B158DRAFT_2531,Kang:B158DRAFT_2531,B158DRAFT_2531,Beta-barrel assembly machine subunit BamD
Kang,B158DRAFT_2264,Kang:B158DRAFT_2264,B158DRAFT_2264,"ribosomal protein L19, bacterial type"
Kang,B158DRAFT_1752,Kang:B158DRAFT_1752,B158DRAFT_1752,acyl carrier protein
Kang,B158DRAFT_2517,Kang:B158DRAFT_2517,B158DRAFT_2517,"preprotein translocase, YajC subunit"
Kang,B158DRAFT_1392,Kang:B158DRAFT_1392,B158DRAFT_1392,sulfur relay protein TusC/DsrF
Kang,B158DRAFT_2347,Kang:B158DRAFT_2347,B158DRAFT_2347,Periplasmic protein involved in polysaccharide export
Kang,B158DRAFT_1283,Kang:B158DRAFT_1283,B158DRAFT_1283,hypothetical protein
Kang,B158DRAFT_1460,Kang:B158DRAFT_1460,B158DRAFT_1460,FeS cluster assembly scaffold IscU
Kang,B158DRAFT_1462,Kang:B158DRAFT_1462,B158DRAFT_1462,Fe-S protein assembly co-chaperone HscB
Kang,B158DRAFT_1051,Kang:B158DRAFT_1051,B158DRAFT_1051,outer membrane transport energization protein ExbB (TC 2.C.1.1.1)
Kang,B158DRAFT_0010,Kang:B158DRAFT_0010,B158DRAFT_0010,Predicted membrane protein
Kang,B158DRAFT_0385,Kang:B158DRAFT_0385,B158DRAFT_0385,"ATP synthase, F1 delta subunit"
Kang,B158DRAFT_0372,Kang:B158DRAFT_0372,B158DRAFT_0372,"membrane protein insertase, YidC/Oxa1 family, N-terminal domain"
Kang,B158DRAFT_1053,Kang:B158DRAFT_1053,B158DRAFT_1053,TonB family C-terminal domain
Kang,B158DRAFT_1391,Kang:B158DRAFT_1391,B158DRAFT_1391,sulfur relay protein TusB/DsrH
Kang,B158DRAFT_1880,Kang:B158DRAFT_1880,B158DRAFT_1880,SSU ribosomal protein S19P
Kang,B158DRAFT_1425,Kang:B158DRAFT_1425,B158DRAFT_1425,2-oxoglutarate dehydrogenase E2 component (EC 2.3.1.61)
Kang,B158DRAFT_1875,Kang:B158DRAFT_1875,B158DRAFT_1875,SSU ribosomal protein S10P
Kang,B158DRAFT_2191,Kang:B158DRAFT_2191,B158DRAFT_2191,holo-[acyl-carrier-protein] synthase
Kang,B158DRAFT_1049,Kang:B158DRAFT_1049,B158DRAFT_1049,Protein of unknown function (DUF3450).
Kang,B158DRAFT_0367,Kang:B158DRAFT_0367,B158DRAFT_0367,"DNA polymerase III, beta subunit"
Kang,B158DRAFT_0828,Kang:B158DRAFT_0828,B158DRAFT_0828,dihydroneopterin aldolase
Kang,B158DRAFT_1050,Kang:B158DRAFT_1050,B158DRAFT_1050,outer membrane transport energization protein ExbB (TC 2.C.1.1.1)
Kang,B158DRAFT_0642,Kang:B158DRAFT_0642,B158DRAFT_0642,Membrane-associated lipoprotein involved in thiamine biosynthesis
Kang,B158DRAFT_2088,Kang:B158DRAFT_2088,B158DRAFT_2088,"Predicted transcriptional regulator, BolA superfamily"
Kang,B158DRAFT_0414,Kang:B158DRAFT_0414,B158DRAFT_0414,thioredoxin
Kang,B158DRAFT_1259,Kang:B158DRAFT_1259,B158DRAFT_1259,ribosomal protein L20
Kang,B158DRAFT_0381,Kang:B158DRAFT_0381,B158DRAFT_0381,"F0F1-type ATP synthase, subunit I"
Kang,B158DRAFT_1506,Kang:B158DRAFT_1506,B158DRAFT_1506,translation initiation factor IF-1
Kang,B158DRAFT_0368,Kang:B158DRAFT_0368,B158DRAFT_0368,chromosomal replication initiator protein DnaA
Kang,B158DRAFT_2117,Kang:B158DRAFT_2117,B158DRAFT_2117,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)"
Kang,B158DRAFT_0382,Kang:B158DRAFT_0382,B158DRAFT_0382,"F0F1-type ATP synthase, subunit a"
Kang,B158DRAFT_2177,Kang:B158DRAFT_2177,B158DRAFT_2177,Uncharacterized conserved protein
Kang,B158DRAFT_0387,Kang:B158DRAFT_0387,B158DRAFT_0387,ATP synthase F1 subcomplex gamma subunit
Kang,B158DRAFT_1139,Kang:B158DRAFT_1139,B158DRAFT_1139,Cell division and transport-associated protein TolR (TC 2.C.1.2.1)
Kang,B158DRAFT_1083,Kang:B158DRAFT_1083,B158DRAFT_1083,ribosome recycling factor
Kang,B158DRAFT_0077,Kang:B158DRAFT_0077,B158DRAFT_0077,Uncharacterized conserved protein
Kang,B158DRAFT_0645,Kang:B158DRAFT_0645,B158DRAFT_0645,"NADH:ubiquinone oxidoreductase, Na(+)-translocating, D subunit"
Kang,B158DRAFT_2084,Kang:B158DRAFT_2084,B158DRAFT_2084,"3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family"
Kang,B158DRAFT_1885,Kang:B158DRAFT_1885,B158DRAFT_1885,30S ribosomal protein S17
Kang,B158DRAFT_2042,Kang:B158DRAFT_2042,B158DRAFT_2042,Uncharacterized paraquat-inducible protein B
Kang,B158DRAFT_2083,Kang:B158DRAFT_2083,B158DRAFT_2083,Uncharacterized protein conserved in bacteria
Kang,B158DRAFT_1551,Kang:B158DRAFT_1551,B158DRAFT_1551,succinylglutamate desuccinylase (EC 3.5.1.96)
Kang,B158DRAFT_1948,Kang:B158DRAFT_1948,B158DRAFT_1948,"ATPase, YjeE family"
Kang,B158DRAFT_1902,Kang:B158DRAFT_1902,B158DRAFT_1902,ribosomal protein L17
Kang,B158DRAFT_1943,Kang:B158DRAFT_1943,B158DRAFT_1943,phosphatidylserine decarboxylase precursor
Kang,B158DRAFT_1893,Kang:B158DRAFT_1893,B158DRAFT_1893,"ribosomal protein S5, bacterial/organelle type"
Kang,B158DRAFT_0972,Kang:B158DRAFT_0972,B158DRAFT_0972,3-deoxy-D-manno-octulosonic-acid transferase
Kang,B158DRAFT_1090,Kang:B158DRAFT_1090,B158DRAFT_1090,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)
Kang,B158DRAFT_1915,Kang:B158DRAFT_1915,B158DRAFT_1915,NusB antitermination factor
Kang,B158DRAFT_1449,Kang:B158DRAFT_1449,B158DRAFT_1449,maleylacetoacetate isomerase
Kang,B158DRAFT_1488,Kang:B158DRAFT_1488,B158DRAFT_1488,amidophosphoribosyltransferase (EC 2.4.2.14)
Kang,B158DRAFT_1863,Kang:B158DRAFT_1863,B158DRAFT_1863,"preprotein translocase, SecE subunit, bacterial"
Kang,B158DRAFT_0717,Kang:B158DRAFT_0717,B158DRAFT_0717,"glutamine synthetase, type I"
Kang,B158DRAFT_0384,Kang:B158DRAFT_0384,B158DRAFT_0384,"ATP synthase, F0 subunit b"
Kang,B158DRAFT_2404,Kang:B158DRAFT_2404,B158DRAFT_2404,integral membrane protein MviN
Kang,B158DRAFT_2188,Kang:B158DRAFT_2188,B158DRAFT_2188,GTP-binding protein Era
Kang,B158DRAFT_1895,Kang:B158DRAFT_1895,B158DRAFT_1895,LSU ribosomal protein L15P
Kang,B158DRAFT_1836,Kang:B158DRAFT_1836,B158DRAFT_1836,"isocitrate dehydrogenase, NADP-dependent, monomeric type"
Kang,B158DRAFT_1461,Kang:B158DRAFT_1461,B158DRAFT_1461,Iron-binding apoprotein IscA
Kang,B158DRAFT_1421,Kang:B158DRAFT_1421,B158DRAFT_1421,"succinate dehydrogenase, hydrophobic membrane anchor protein"
Kang,B158DRAFT_2519,Kang:B158DRAFT_2519,B158DRAFT_2519,"protein-export membrane protein, SecD/SecF family"
Kang,B158DRAFT_1140,Kang:B158DRAFT_1140,B158DRAFT_1140,TolA protein
Kang,B158DRAFT_2262,Kang:B158DRAFT_2262,B158DRAFT_2262,16S rRNA processing protein RimM
Kang,B158DRAFT_1091,Kang:B158DRAFT_1091,B158DRAFT_1091,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.-)
Kang,B158DRAFT_1896,Kang:B158DRAFT_1896,B158DRAFT_1896,protein translocase subunit secY/sec61 alpha
Kang,B158DRAFT_1946,Kang:B158DRAFT_1946,B158DRAFT_1946,Oligoribonuclease (3'->5' exoribonuclease)
Kang,B158DRAFT_0786,Kang:B158DRAFT_0786,B158DRAFT_0786,orotate phosphoribosyltransferase (EC 2.4.2.10)
Kang,B158DRAFT_1155,Kang:B158DRAFT_1155,B158DRAFT_1155,Beta-barrel assembly machine subunit BamB
Kang,B158DRAFT_1085,Kang:B158DRAFT_1085,B158DRAFT_1085,CDP-diglyceride synthetase
Kang,B158DRAFT_1901,Kang:B158DRAFT_1901,B158DRAFT_1901,DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6)
Kang,B158DRAFT_0391,Kang:B158DRAFT_0391,B158DRAFT_0391,glucosamine--fructose-6-phosphate aminotransferase (isomerizing)
Kang,B158DRAFT_1891,Kang:B158DRAFT_1891,B158DRAFT_1891,LSU ribosomal protein L6P
Kang,B158DRAFT_2497,Kang:B158DRAFT_2497,B158DRAFT_2497,Adenylosuccinate lyase (EC 4.3.2.2)
Kang,B158DRAFT_0718,Kang:B158DRAFT_0718,B158DRAFT_0718,"Outer membrane receptor proteins, mostly Fe transport"
Kang,B158DRAFT_0519,Kang:B158DRAFT_0519,B158DRAFT_0519,Acyl carrier protein
Kang,B158DRAFT_1424,Kang:B158DRAFT_1424,B158DRAFT_1424,"2-oxoglutarate dehydrogenase, E1 component"
Kang,B158DRAFT_1485,Kang:B158DRAFT_1485,B158DRAFT_1485,folylpolyglutamate synthase/dihydrofolate synthase
Kang,B158DRAFT_1888,Kang:B158DRAFT_1888,B158DRAFT_1888,Ribosomal protein L5
Kang,B158DRAFT_1599,Kang:B158DRAFT_1599,B158DRAFT_1599,lipid-A-disaccharide kinase (EC 2.7.1.130)
Kang,B158DRAFT_0105,Kang:B158DRAFT_0105,B158DRAFT_0105,"ribosomal protein S15, bacterial/organelle"
Kang,B158DRAFT_2327,Kang:B158DRAFT_2327,B158DRAFT_2327,ribosomal protein S1
Kang,B158DRAFT_1448,Kang:B158DRAFT_1448,B158DRAFT_1448,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"
Kang,B158DRAFT_0636,Kang:B158DRAFT_0636,B158DRAFT_0636,Dihydropteroate synthase (EC 2.5.1.15)
Kang,B158DRAFT_1427,Kang:B158DRAFT_1427,B158DRAFT_1427,"succinyl-CoA synthetase, alpha subunit"
Kang,B158DRAFT_0637,Kang:B158DRAFT_0637,B158DRAFT_0637,phosphoglucosamine mutase (EC 5.4.2.10)
Kang,B158DRAFT_1890,Kang:B158DRAFT_1890,B158DRAFT_1890,Ribosomal protein S8
Kang,B158DRAFT_1081,Kang:B158DRAFT_1081,B158DRAFT_1081,translation elongation factor Ts
Kang,B158DRAFT_1900,Kang:B158DRAFT_1900,B158DRAFT_1900,"ribosomal protein S4, bacterial/organelle type"
Kang,B158DRAFT_1141,Kang:B158DRAFT_1141,B158DRAFT_1141,tol-pal system beta propeller repeat protein TolB
Kang,B158DRAFT_1215,Kang:B158DRAFT_1215,B158DRAFT_1215,Superoxide dismutase
Kang,B158DRAFT_2128,Kang:B158DRAFT_2128,B158DRAFT_2128,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)
Kang,B158DRAFT_1311,Kang:B158DRAFT_1311,B158DRAFT_1311,Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)
Kang,B158DRAFT_0643,Kang:B158DRAFT_0643,B158DRAFT_0643,"NADH:ubiquinone oxidoreductase, Na(+)-translocating, F subunit"
Kang,B158DRAFT_1756,Kang:B158DRAFT_1756,B158DRAFT_1756,phosphate:acyl-[acyl carrier protein] acyltransferase
Kang,B158DRAFT_2185,Kang:B158DRAFT_2185,B158DRAFT_2185,"signal peptidase I, bacterial type"
Kang,B158DRAFT_2453,Kang:B158DRAFT_2453,B158DRAFT_2453,quinolinate synthetase (EC 2.5.1.72)
Kang,B158DRAFT_1898,Kang:B158DRAFT_1898,B158DRAFT_1898,30S ribosomal protein S13
Kang,B158DRAFT_2125,Kang:B158DRAFT_2125,B158DRAFT_2125,Cell division septal protein
Kang,B158DRAFT_2176,Kang:B158DRAFT_2176,B158DRAFT_2176,folate-binding protein YgfZ
Kang,B158DRAFT_0390,Kang:B158DRAFT_0390,B158DRAFT_0390,UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
Kang,B158DRAFT_1484,Kang:B158DRAFT_1484,B158DRAFT_1484,acetyl-CoA carboxylase carboxyltransferase subunit alpha
Kang,B158DRAFT_2141,Kang:B158DRAFT_2141,B158DRAFT_2141,dephospho-CoA kinase
Kang,B158DRAFT_0370,Kang:B158DRAFT_0370,B158DRAFT_0370,"ribonuclease P protein component, eubacterial"
Kang,B158DRAFT_0438,Kang:B158DRAFT_0438,B158DRAFT_0438,alternative sigma factor RpoH
Kang,B158DRAFT_0002,Kang:B158DRAFT_0002,B158DRAFT_0002,tyrosyl-tRNA synthetase (EC 6.1.1.1)
Kang,B158DRAFT_0851,Kang:B158DRAFT_0851,B158DRAFT_0851,aspartate kinase (EC 2.7.2.4)
Kang,B158DRAFT_1856,Kang:B158DRAFT_1856,B158DRAFT_1856,"pantothenate kinase, type III"
Kang,B158DRAFT_2390,Kang:B158DRAFT_2390,B158DRAFT_2390,regulatory inactivation of DnaA Hda protein
Kang,B158DRAFT_2228,Kang:B158DRAFT_2228,B158DRAFT_2228,dihydroorotate oxidase A (EC 1.3.3.1)
Kang,B158DRAFT_1159,Kang:B158DRAFT_1159,B158DRAFT_1159,"GMP synthase (glutamine-hydrolyzing), C-terminal domain or B subunit/GMP synthase (glutamine-hydrolyzing), N-terminal domain or A subunit"
Kang,B158DRAFT_2518,Kang:B158DRAFT_2518,B158DRAFT_2518,"protein-export membrane protein, SecD/SecF family"
Kang,B158DRAFT_1588,Kang:B158DRAFT_1588,B158DRAFT_1588,"lipoprotein releasing system, transmembrane protein, LolC/E family"
Kang,B158DRAFT_0776,Kang:B158DRAFT_0776,B158DRAFT_0776,outer membrane transport energization protein ExbD (TC 2.C.1.1.1)
Kang,B158DRAFT_1423,Kang:B158DRAFT_1423,B158DRAFT_1423,succinate dehydrogenase and fumarate reductase iron-sulfur protein
Kang,B158DRAFT_2118,Kang:B158DRAFT_2118,B158DRAFT_2118,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)
Kang,B158DRAFT_1747,Kang:B158DRAFT_1747,B158DRAFT_1747,"DNA polymerase III, delta' subunit"
Kang,B158DRAFT_2029,Kang:B158DRAFT_2029,B158DRAFT_2029,Inorganic pyrophosphatase
Kang,B158DRAFT_0079,Kang:B158DRAFT_0079,B158DRAFT_0079,D-alanyl-D-alanine carboxypeptidase
Kang,B158DRAFT_1865,Kang:B158DRAFT_1865,B158DRAFT_1865,50S ribosomal protein L11
Kang,B158DRAFT_1917,Kang:B158DRAFT_1917,B158DRAFT_1917,phosphatidylglycerophosphatase (EC 3.1.3.27)
Kang,B158DRAFT_2003,Kang:B158DRAFT_2003,B158DRAFT_2003,ribosomal protein S18
Kang,B158DRAFT_2491,Kang:B158DRAFT_2491,B158DRAFT_2491,ferrochelatase (EC 4.99.1.1)
Kang,B158DRAFT_0646,Kang:B158DRAFT_0646,B158DRAFT_0646,"NADH:ubiquinone oxidoreductase, Na(+)-translocating, C subunit"
Kang,B158DRAFT_1093,Kang:B158DRAFT_1093,B158DRAFT_1093,lipid-A-disaccharide synthase (EC 2.4.1.182)
Kang,B158DRAFT_1598,Kang:B158DRAFT_1598,B158DRAFT_1598,lipid A export permease/ATP-binding protein MsbA
Kang,B158DRAFT_0744,Kang:B158DRAFT_0744,B158DRAFT_0744,ubiquinone/menaquinone biosynthesis methyltransferases
Kang,B158DRAFT_0798,Kang:B158DRAFT_0798,B158DRAFT_0798,"phosphoribosylaminoimidazole-succinocarboxamide synthase, Vibrio type"
Kang,B158DRAFT_1420,Kang:B158DRAFT_1420,B158DRAFT_1420,succinate dehydrogenase subunit C (EC 1.3.5.1)
Kang,B158DRAFT_1877,Kang:B158DRAFT_1877,B158DRAFT_1877,LSU ribosomal protein L4P
Kang,B158DRAFT_1426,Kang:B158DRAFT_1426,B158DRAFT_1426,"succinyl-CoA synthetase, beta subunit"
Kang,B158DRAFT_2251,Kang:B158DRAFT_2251,B158DRAFT_2251,glutamate-cysteine ligase (EC 6.3.2.2)
Kang,B158DRAFT_0644,Kang:B158DRAFT_0644,B158DRAFT_0644,"NADH:ubiquinone oxidoreductase, Na(+)-translocating, E subunit"
Kang,B158DRAFT_2122,Kang:B158DRAFT_2122,B158DRAFT_2122,UDP-N-acetylglucosamine-N-acetylmuramylpentapeptide N-acetylglucosamine transferase
Kang,B158DRAFT_0749,Kang:B158DRAFT_0749,B158DRAFT_0749,Cell division protein
Kang,B158DRAFT_2444,Kang:B158DRAFT_2444,B158DRAFT_2444,dihydrodipicolinate synthase
Kang,B158DRAFT_0383,Kang:B158DRAFT_0383,B158DRAFT_0383,ATP synthase F0 subcomplex C subunit
Kang,B158DRAFT_1854,Kang:B158DRAFT_1854,B158DRAFT_1854,UDP-N-acetylmuramate dehydrogenase (EC 1.1.1.158)
Kang,B158DRAFT_1753,Kang:B158DRAFT_1753,B158DRAFT_1753,3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)
Kang,B158DRAFT_0887,Kang:B158DRAFT_0887,B158DRAFT_0887,single-strand binding protein
Kang,B158DRAFT_1817,Kang:B158DRAFT_1817,B158DRAFT_1817,seryl-tRNA synthetase (EC 6.1.1.11)
Kang,B158DRAFT_1307,Kang:B158DRAFT_1307,B158DRAFT_1307,GTP cyclohydrolase I
Kang,B158DRAFT_1080,Kang:B158DRAFT_1080,B158DRAFT_1080,"ribosomal protein S2, bacterial type"
Kang,B158DRAFT_1459,Kang:B158DRAFT_1459,B158DRAFT_1459,cysteine desulfurase IscS
Kang,B158DRAFT_2326,Kang:B158DRAFT_2326,B158DRAFT_2326,cytidylate kinase
Kang,B158DRAFT_1113,Kang:B158DRAFT_1113,B158DRAFT_1113,"tRNA(Ile)-lysidine synthetase, N-terminal domain/tRNA(Ile)-lysidine synthetase, C-terminal domain"
Kang,B158DRAFT_0780,Kang:B158DRAFT_0780,B158DRAFT_0780,ribosomal protein L28
Kang,B158DRAFT_1153,Kang:B158DRAFT_1153,B158DRAFT_1153,histidyl-tRNA synthetase (EC 6.1.1.21)
Kang,B158DRAFT_2285,Kang:B158DRAFT_2285,B158DRAFT_2285,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
Kang,B158DRAFT_1869,Kang:B158DRAFT_1869,B158DRAFT_1869,"DNA-directed RNA polymerase, beta subunit"
Kang,B158DRAFT_1873,Kang:B158DRAFT_1873,B158DRAFT_1873,translation elongation factor EF-G
