gene_cluster_id	root_og	narrowest_og	n_tax_levels	breadth_class	COG_category	EC	KEGG_ko	PFAMs	Description	n_species	n_clusters
NZ_RPKT01000040.1_50	COG4111	4B739	5	universal	F	-	-	-	belongs to the nudix hydrolase family	3	3
NC_003047.1_3009	COG3706	COG3706	4	universal	T	3.1.3.3	ko:K07315	EAL,GGDEF,HD,Response_reg	GGDEF domain	14	25
AKZY01000162.1_18	COG5330	4B7Y1	5	universal	S	-	-	DUF2336	Uncharacterised protein conserved in bacteria (DUF2336)	4	10
NZ_WKBU01000075.1_2	COG1236	1Z8VH	5	universal	J	-	ko:K07577	-	exonuclease of the beta-lactamase fold involved in RNA processing	3	3
NZ_RBTG01000139.1_95	COG4188	1Z6B8	5	universal	S	-	-	DLH	Dienelactone hydrolase	8	13
NZ_AVEA02000053.1_6	COG3209	1Z8Y1	5	universal	M	-	-	-	COG3209 Rhs family protein	11	48
NZ_CP047267.1_4794	COG3209	1Z8W6	5	universal	M	-	-	-	rhs family	11	48
MLER01000011.1_25	COG0628	1Z789	5	universal	S	-	-	AI-2E_transport	AI-2E family transporter	19	46
NZ_RPMQ01000081.1_4	COG0702	3T64P	5	universal	GM	-	-	-	NmrA-like family	16	26
VITP01000017.1_20	COG2227	4B8M5	5	universal	H	-	-	Methyltransf_25	3-demethylubiquinone-9 3-O-methyltransferase activity	13	20
NZ_RBTH01000177.1_11	30PGB	1Z8WN	5	universal	-	-	-	-	-	1	1
NZ_KI421522.1_348	2Z7ZS	4BBNS	5	universal	S	1.14.13.238	ko:K22342	DUF3445	Protein of unknown function (DUF3445)	3	3
NZ_RPKD01000012.1_32	COG2215	4B8XF	5	universal	P	-	ko:K08970	NicO	Belongs to the NiCoT transporter (TC 2.A.52) family	2	2
NZ_RPJR01000005.1_131	COG2855	4BDH9	5	universal	S	-	-	Cons_hypoth698	Conserved hypothetical protein 698	11	14
NZ_PZMJ02000002.1_429	COG0668	4B8F4	5	universal	MT	-	-	MS_channel,cNMP_binding	mechanosensitive ion channel	14	22
NC_018700.1_2614	COG1729	4B7PV	5	universal	D	-	-	TPR_16,TPR_6,TolA_bind_tri	Mediates coordination of peptidoglycan synthesis and outer membrane constriction during cell division	10	12
NZ_WIRO01000152.1_14	COG5330	4B7SB	5	universal	S	-	-	DUF2336	Uncharacterised protein conserved in bacteria (DUF2336)	4	10
NZ_RPHM01000021.1_38	COG2113	4B8FA	5	universal	E	-	ko:K02002	OpuAC	ABC-type proline glycine betaine transport systems, periplasmic components	1	1
NC_007005.1_2855	COG3943	1RPNB	4	universal	L	-	-	Virulence_RhuM	COG3943 Virulence protein	3	8
NZ_ATTK01000079.1_9	COG1396	3K2WV	5	universal	K	-	-	HTH_31	sequence-specific DNA binding	15	37
NWVT01000014.1_112	COG3395	4B85A	5	universal	S	2.7.1.219,2.7.1.220	ko:K22129	DUF1357_C,DUF1537	protein conserved in bacteria	6	8
NZ_QPBJ01000021.1_47	COG0318	1SP65	4	universal	IQ	-	-	-	PFAM AMP-dependent synthetase and ligase	10	17
NZ_MLFA01000007.1_160	COG1073	1Z53Z	5	universal	S	-	ko:K06889	Hydrolase_4	Serine aminopeptidase, S33	27	59
MLER01000004.1_243	COG1162	1Z5KP	5	universal	S	3.1.3.100	ko:K06949	RsgA_GTPase	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit	2	2
NZ_CP021828.1_230	COG1708	4BA8B	5	universal	S	-	ko:K07076	HEPN,NTP_transf_2	Nucleotidyltransferase	6	8
NZ_WKBM01000041.1_12	30UJD	1Z54C	5	universal	-	-	-	-	-	1	2
NZ_WKCG01000015.1_51	32JMB	1Z5GF	5	universal	-	-	-	-	-	2	2
NZ_RPHV01000009.1_96	COG1236	4B91A	5	universal	J	-	ko:K07577	Lactamase_B	exonuclease of the beta-lactamase fold involved in RNA processing	3	3
NZ_PZMI02000003.1_244	COG2253	2TTHC	4	universal	L	-	-	AbiEii	Nucleotidyl transferase AbiEii toxin, Type IV TA system	9	10
NZ_JZXD01000005.1_90	COG0845	4BBWG	5	universal	M	-	-	HlyD_3,HlyD_D23	HlyD membrane-fusion protein of T1SS	17	44
NC_017322.1_3295	COG2222	4BASC	5	universal	M	2.6.1.16	ko:K00820	SIS	glucosamine-fructose-6-phosphate aminotransferase	1	2
NZ_WISM01000202.1_4	COG3367	4BITX	5	universal	S	-	-	DUF1611,DUF1611_N	Domain of unknown function (DUF1611_N) Rossmann-like domain	9	13
NZ_RPLQ01000141.1_9	COG5361	4B9J3	5	universal	S	-	ko:K03929	DUF1214,DUF1254	Protein of unknown function (DUF1214)	10	23
NC_003037.1_1197	COG1744	4BCH6	5	universal	S	-	-	Bmp	ABC transporter substrate-binding protein PnrA-like	2	5
MLEK01000001.1_33	COG1196	1Z4TY	5	universal	D	-	-	-	nuclear chromosome segregation	23	41
NZ_CP021808.1_1675	COG2177	4B6YZ	5	universal	D	-	ko:K09811	-	Cell division protein	3	3
NZ_JAKMVI010000002.1_72	COG4804	1Z95N	5	universal	S	-	-	DUF1016	Protein of unknown function (DUF1016)	7	12
NC_007005.1_4235	COG1092	1Z4X4	5	universal	H	2.1.1.191	ko:K06969	Methyltrans_SAM	Belongs to the methyltransferase superfamily	10	14
NZ_RPIP01000113.1_5	COG3503	4B93Q	5	universal	S	-	-	DUF1624	membrane	12	12
NZ_CP021829.1_91	COG2222	4B7AB	5	universal	M	-	ko:K19510	SIS	SIS domain	1	2
NZ_JZXD01000063.1_11	COG3391	4BDNX	5	universal	S	-	-	Cytochrom_D1,Lactonase	TIGRFAM 40-residue YVTN family beta-propeller repeat protein	19	65
NZ_ATYP01000021.1_65	COG0714	4B9EN	5	universal	S	-	ko:K03924	AAA_3	ATPase associated with various cellular activities	4	7
AKZY01000059.1_2	COG2813	4B793	5	universal	J	2.1.1.172	ko:K00564	MTS,MTS_N	Methyltransferase	4	6
NZ_NBAK01000041.1_223	COG1960	1Z4WX	5	universal	I	-	-	Acyl-CoA_dh_1,Acyl-CoA_dh_M	acyl-CoA dehydrogenase	10	14
NC_007005.1_2681	30585	1R4TH	3	universal	-	-	-	-	-	1	1
NZ_RPMT01000021.1_26	COG4313	4BCAQ	5	universal	C	-	-	Phenol_MetA_deg	Putative MetA-pathway of phenol degradation	9	20
NZ_RPIU01000007.1_27	COG4448	4B9U4	5	universal	E	-	-	Asparaginase_II	L-asparaginase II	3	3
NZ_RPID01000001.1_253	COG3608	4B9IA	5	universal	S	3.5.1.125	ko:K06987,ko:K15784	AstE_AspA	succinylglutamate desuccinylase aspartoacylase	7	10
NZ_RPHX01000069.1_2	COG4965	4B8EI	5	universal	U	-	ko:K12510	T2SSF	pilus assembly protein	1	1
NZ_AKZW01000093.1_35	COG2070	4B9MN	5	universal	S	1.13.12.16	ko:K00459	NMO	2-nitropropane dioxygenase	9	9
NZ_CP026568.1_3904	30UJD	1Z54C	5	universal	-	-	-	-	-	1	2
NZ_WISR01000013.1_1	COG3660	4BKIG	5	universal	M	-	ko:K07276	Mito_fiss_Elm1	Mitochondrial fission ELM1	3	3
NZ_CP021829.1_2299	COG3191	4B7J5	5	universal	EQ	3.4.11.19	ko:K01266	Peptidase_S58	peptidase	2	2
NZ_WKBZ01000007.1_34	COG3137	1Z6R1	5	universal	M	-	-	DUF481	Protein of unknown function, DUF481	12	18
NC_019849.2_702	COG0845	4BARW	5	universal	M	-	ko:K01993	Biotin_lipoyl_2,HlyD_3,HlyD_D23	secretion protein	17	44
CP021816.1_169	COG2826	4BC67	5	universal	L	-	ko:K07482	HTH_38,rve	Transposase for insertion sequence element IS1086	1	1
NZ_QPBP01000057.1_34	COG0189	1Z55T	5	universal	HJ	-	-	ATPgrasp_Ter	ATP-grasp in the biosynthetic pathway with Ter operon	7	10
NZ_NHSX01000079.1_7	32ZR3	1Z4Z7	5	universal	S	-	-	DUF3530	Protein of unknown function (DUF3530)	6	6
NZ_RPHR01000008.1_13	COG0726	4B8HS	5	universal	G	-	-	Polysacc_deac_1	polysaccharide deacetylase	13	18
NZ_JZXD01000009.1_35	COG0741	4BDCX	5	universal	M	-	-	SLT	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM invasin domains)	10	16
CP021812.1_1982	COG0584	4BBJ8	5	universal	C	3.1.4.46	ko:K01126	GDPD	glycerophosphoryl diester phosphodiesterase	6	8
NZ_MVAW01000367.1_8	COG5621	1Z4W8	5	universal	S	-	-	CrtC,Lipocalin_9	Lipocalin-like domain	5	5
NZ_LJPM01000570.1_2	COG3209	1Z6XD	5	universal	M	-	-	-	rhs family	11	48
VITP01000013.1_79	COG3000	4B8X0	5	universal	I	-	-	FA_hydroxylase	Fatty acid hydroxylase superfamily	6	9
NZ_LIHS01000009.1_281	COG3539	1Z5WJ	5	universal	NU	-	ko:K07345	Fimbrial	Fimbrial protein	7	22
MLEK01000004.1_255	COG3209	1Z9QR	5	universal	M	-	-	-	rhs family	11	48
NZ_RPKB01000044.1_7	COG0697	4B78E	5	universal	EG	-	-	EamA	of the drug metabolite transporter (DMT) superfamily	24	134
NZ_RPHU01000078.1_18	308U9	4BNRE	5	universal	-	-	-	-	-	1	1
NZ_RPHU01000021.1_33	COG0385	4B6YC	5	universal	S	-	ko:K14347	SBF_like	Bile acid	5	5
NZ_PZMJ02000002.1_401	COG3802	4B7NR	5	universal	S	-	-	-	protein conserved in bacteria	2	2
NZ_WIRQ01000147.1_12	COG0697	4B9MQ	5	universal	EG	-	ko:K15270	EamA	Permeases of the drug metabolite transporter (DMT) superfamily	24	134
NZ_RPMP01000016.1_36	COG1295	4B7VX	5	universal	S	-	ko:K07058	Virul_fac_BrkB	Virulence factor BrkB	3	4
NZ_RPHP01000016.1_21	COG0435	4B7N6	5	universal	O	1.8.5.7	ko:K07393	GST_C_2,GST_N_2	Glutathione S-transferase	3	3
NC_020528.1_2505	COG0715	4BC91	5	universal	P	-	ko:K02051	NMT1	ABC-type nitrate sulfonate bicarbonate transport systems, periplasmic components	5	8
AKZY01000223.1_127	COG3181	4BACM	5	universal	S	-	-	TctC	protein conserved in bacteria	10	52
NZ_MLEX01000006.1_162	COG1426	1Z6U7	5	universal	S	-	ko:K15539	DUF4115,HTH_25	Domain of unknown function (DUF4115)	14	15
NZ_CP005969.1_1630	COG3802	1Z592	5	universal	S	-	-	-	protein conserved in bacteria	2	2
MLER01000005.1_36	33W99	1Z69I	5	universal	-	-	-	-	-	1	1
NZ_RPIA01000040.1_53	COG3181	4BG6E	5	universal	S	-	-	TctC	Tripartite tricarboxylate transporter family receptor	10	52
NZ_RPHR01000028.1_45	COG0598	4B9FG	5	universal	P	-	ko:K03284,ko:K16074	CorA	transporter	3	3
NZ_ATYH01000011.1_67	COG2319	4B7M3	5	universal	S	-	-	ANAPC4_WD40,WD40	Anaphase-promoting complex subunit 4 WD40 domain	4	4
NZ_RPNB01000019.1_28	COG1744	4BCH6	5	universal	S	-	-	Bmp	ABC transporter substrate-binding protein PnrA-like	2	5
NZ_RPKB01000032.1_12	COG0523	4BCZN	5	universal	S	-	-	CobW_C,cobW	Cobalamin synthesis protein cobW C-terminal domain	5	10
NZ_CP021799.1_999	COG1295	4B7VX	5	universal	S	-	ko:K07058	Virul_fac_BrkB	Virulence factor BrkB	3	4
NZ_AKZW01000071.1_25	COG0330	4B8TV	5	universal	O	-	-	Band_7,Band_7_C	Membrane protease subunits, stomatin prohibitin homologs	7	15
VITP01000005.1_77	COG3181	4B8TJ	5	universal	S	-	-	TctC	Tripartite tricarboxylate transporter family receptor	10	52
NZ_RPKS01000003.1_107	COG3409	4BAJ7	7	universal	M	-	-	PG_binding_1,YkuD	Putative peptidoglycan binding domain	13	20
NZ_CP021820.1_574	COG0451	4B6Y3	5	universal	GM	1.1.1.410	ko:K22025	Epimerase	COG0451 Nucleoside-diphosphate-sugar epimerases	17	32
NZ_ATZC01000044.1_5	COG2064	4BA5K	5	universal	NU	-	ko:K12511	T2SSF	type II secretion system protein	2	2
NC_019849.2_1470	COG1744	2TR36	4	universal	S	-	ko:K02058	Bmp	ABC-type transport system, periplasmic component surface lipoprotein	2	5
NC_019845.2_278	COG1814	4BAD6	7	universal	S	-	-	Rubrerythrin,VIT1	Rubrerythrin	6	6
VITP01000003.1_178	COG4948	4BBN8	5	universal	M	5.1.1.20	ko:K19802	MR_MLE_C,MR_MLE_N	Belongs to the mandelate racemase muconate lactonizing enzyme family	5	7
NZ_WKCI01000109.1_7	2Z7IA	1RPVF	4	universal	S	-	-	DUF1852	Domain of unknown function (DUF1852)	8	8
NZ_RBTH01000062.1_6	COG3391	1Z72K	5	universal	S	-	-	PD40	amine dehydrogenase activity	19	65
NZ_RPLZ01000214.1_10	2Z7S6	4B7RU	5	universal	S	-	-	DUF2493	Protein of unknown function (DUF2493)	3	3
NZ_RPLH01000092.1_12	COG0702	COG0702	2	universal	GM	-	-	NAD_binding_10,NmrA	epimerase	16	26
NZ_RPIO01000068.1_18	COG2816	4BBER	5	universal	L	3.6.1.22	ko:K03426	NUDIX,NUDIX-like,zf-NADH-PPase	NTP pyrophosphohydrolases containing a Zn-finger, probably nucleic-acid-binding	2	2
NZ_AGVV01000022.1_39	COG1073	4B9EW	5	universal	S	-	-	-	alpha beta	27	59
AKZY01000023.1_16	COG4544	4BAHW	5	universal	S	-	ko:K14160	-	Component of the SOS system and an inhibitor of cell division. Accumulation of SulA causes rapid cessation of cell division and the appearance of long, non-septate filaments. In the presence of GTP, binds a polymerization-competent form of FtsZ in a 1 1 ratio, thus inhibiting FtsZ polymerization and therefore preventing it from participating in the assembly of the Z ring. This mechanism prevents the premature segregation of damaged DNA to daughter cells during cell division	11	13
NZ_MUJX01000089.1_30	COG0189	1Z5S7	5	universal	HJ	-	-	ATPgrasp_ST	Sugar-transfer associated ATP-grasp	7	10
NZ_RPMC01000108.1_8	COG1216	4BHD9	5	universal	S	-	-	DUF707	Protein of unknown function (DUF707)	16	31
NZ_WKAW01000096.1_3	COG4222	1Z6B6	5	universal	S	-	-	Phytase-like	Esterase-like activity of phytase	11	11
NZ_GL385326.1_50	COG0697	1Z5Q2	5	universal	EG	-	-	EamA	EamA-like transporter family	24	134
NZ_RPKH01000049.1_38	COG0697	4BMUS	5	universal	EG	-	-	EamA	of the drug metabolite transporter (DMT) superfamily	24	134
NZ_CP012941.1_74	334XC	1KA4D	5	universal	-	-	-	-	-	2	3
NZ_CP012940.1_660	334XC	1KA4D	5	universal	-	-	-	-	-	2	3
NZ_LZZU01000055.1_181	33V3H	2W2BW	4	universal	-	-	-	-	-	1	1
NZ_LZZU01000045.1_67	COG0745	1KH7T	5	universal	T	-	ko:K03413	Response_reg	response regulator	9	16
NZ_CP062804.1_441	COG2343	2UC5N	4	universal	S	-	-	NTP_transf_9	Protein conserved in bacteria	9	11
NZ_CP010536.1_2115	COG3109	1SJ9X	4	universal	T	-	ko:K03607	ProQ	RNA chaperone with significant RNA binding, RNA strand exchange and RNA duplexing activities	2	3
NZ_CP010536.1_2108	32U1Y	1K70Y	5	universal	-	-	-	-	-	2	2
NZ_CP010536.1_2103	COG3631	1K90N	5	universal	S	-	ko:K06893	SnoaL_2	SnoaL-like domain	22	40
NZ_CDLZ01000001.1_4482	30FAK	1KB4D	5	universal	S	-	-	-	Evidence 4 Homologs of previously reported genes of	3	7
NZ_JQSH01000086.1_6	31C5B	1KDH1	5	universal	-	-	-	2OG-FeII_Oxy_3	-	3	3
NZ_AAKL01000013.1_17	32YKA	1NHYU	3	universal	-	-	-	-	-	3	3
JACWNS010000011.1_104	COG3737	1K7NX	5	universal	S	-	-	DUF498	Protein of unknown function (DUF498/DUF598)	11	11
NZ_JAMBNM010000052.1_46	COG1734	2VY9Z	4	universal	T	-	-	zf-dskA_traR	PFAM zinc finger, DksA TraR C4-type	6	6
NZ_SUQM01000052.1_20	COG3737	1K7NX	5	universal	S	-	-	DUF498	Protein of unknown function (DUF498/DUF598)	11	11
NZ_CP010537.1_1554	COG1309	2I8MS	3	universal	K	-	-	TetR_N	transcriptional regulator	11	36
NZ_CP010536.1_1666	32ZQV	1KAIF	5	universal	-	-	-	-	-	2	3
NZ_CP010536.1_572	338D7	1KB15	5	universal	-	-	-	-	-	1	1
NZ_JNVP03000041.1_7	316GH	1K8SW	5	universal	-	-	-	-	-	3	3
NZ_SUQM01000004.1_99	COG1555	1K9BI	5	universal	L	-	ko:K02237	HHH_3	Helix-hairpin-helix motif	8	10
NZ_CP010537.1_2716	COG0251	1K9JM	5	universal	J	-	-	Ribonuc_L-PSP	Endoribonuclease L-PSP	13	31
NZ_CP010536.1_3743	2ZKBY	2W5BR	4	universal	-	-	-	-	-	1	1
NC_017575.1_1206	COG3383	1KI73	5	universal	C	-	-	Fer2_4	2Fe-2S iron-sulfur cluster binding domain	3	3
NC_017574.1_207	COG1961	1K94K	5	universal	L	-	-	-	bacteriophage-related protein	9	13
NZ_LZZU01000090.1_228	3320V	1K8QZ	5	universal	-	-	-	-	-	4	4
NZ_LZZU01000014.1_73	33UNJ	1KDCS	5	universal	-	-	-	-	-	1	1
NZ_SUQM01000071.1_10	33ED9	1K85U	5	universal	S	-	-	DUF2946	Protein of unknown function (DUF2946)	3	3
NZ_SUQM01000021.1_62	2ZKST	1KEZB	5	universal	S	-	-	DUF1484	Protein of unknown function (DUF1484)	4	13
NZ_CP010537.1_2683	2ZKST	1KEZB	5	universal	S	-	-	DUF1484	Protein of unknown function (DUF1484)	4	13
NZ_CP010537.1_2606	COG1917	2KB6D	5	universal	S	-	-	Cupin_2	Cupin domain	29	63
NZ_LVKV01000092.1_32	33HZ1	33HZ1	2	universal	-	-	-	-	-	3	3
NZ_JNGD01000113.1_15	2ZEHH	2ZEHH	2	universal	-	-	-	-	-	3	3
NZ_LZZU01000005.1_79	33AD4	1SHRC	4	universal	S	-	-	DUF3325	Protein of unknown function (DUF3325)	6	7
NZ_CP010537.1_899	34ARZ	1K9DH	5	universal	G	-	-	Tautomerase	Tautomerase enzyme	1	1
NZ_JACWNN010000065.1_4	334WQ	1KHDX	5	universal	S	-	-	DUF2784	Protein of Unknown function (DUF2784)	3	3
NZ_CP012940.1_1461	COG3706	2K51N	5	universal	T	-	-	GGDEF,PAS_3,Response_reg	Diguanylate cyclase, GGDEF domain	14	25
NZ_CDQJ01000001.1_2858	30FAK	1XANC	5	universal	S	-	-	-	Evidence 4 Homologs of previously reported genes of	3	7
NZ_CDLS01000001.1_894	COG1511	1K6R6	5	universal	S	-	-	KfrA_N	Plasmid replication region DNA-binding N-term	8	9
JALNIV010000002.1_168	COG4969	1K8ZK	5	universal	NU	-	-	DUF4845	Domain of unknown function (DUF4845)	6	7
NZ_JAMBNM010000018.1_48	33AD4	1SHRC	4	universal	S	-	-	DUF3325	Protein of unknown function (DUF3325)	6	7
NZ_LZZU01000006.1_234	33A3X	1K9Q4	5	universal	-	-	-	PXPV	-	6	9
NZ_SUQM01000050.1_61	318S1	2KTI6	5	universal	-	-	-	-	-	1	1
NZ_CP062803.1_3870	COG0792	1K7FW	5	universal	L	-	ko:K07460	UPF0102	Belongs to the UPF0102 family	15	15
NZ_CP010536.1_3365	2ZKST	1KEZB	5	universal	S	-	-	DUF1484	Protein of unknown function (DUF1484)	4	13
NZ_CP010536.1_3285	2ZKST	1KEZB	5	universal	S	-	-	DUF1484	Protein of unknown function (DUF1484)	4	13
NZ_LN651281.1_750	COG4259	1K8BH	5	universal	S	-	-	DUF4810	lipoprotein	7	7
NZ_JAMBNM010000013.1_125	33IWS	4P9AQ	3	universal	-	-	-	-	-	1	1
NZ_CP010537.1_2682	3364K	2VWH0	4	universal	-	-	-	-	-	1	1
NZ_CP010537.1_1887	COG0251	1K7QD	5	universal	J	3.5.99.10	ko:K09022	Ribonuc_L-PSP	endoribonuclease L-PSP	13	31
NZ_CP010537.1_1848	COG2609	1W7Q7	4	universal	C	1.2.4.1	ko:K00163	Transketolase_N	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)	1	1
NZ_CP010536.1_1646	32JMZ	1K7VY	5	universal	-	-	-	DUF1064	-	2	3
NZ_CP010536.1_1359	339E6	2UXGC	4	universal	-	-	-	-	-	1	1
NZ_PQWP01000170.1_26	COG3759	1K7ZW	5	universal	S	-	ko:K08987	DUF1304	Protein of unknown function (DUF1304)	4	4
NZ_JQSI01000043.1_21	COG2706	1K9AW	5	universal	G	-	-	-	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology	8	12
NZ_CP010536.1_1760	32ACV	2W5AQ	4	universal	S	-	-	DUF3307	Protein of unknown function (DUF3307)	2	2
NZ_JXAY01000091.1_7	333A9	2VWH1	4	universal	-	-	-	-	-	3	3
NZ_CDLS01000001.1_62	3156H	47508	5	universal	S	-	-	DUF2946	Protein of unknown function (DUF2946)	2	2
NZ_CDLW01000001.1_4315	COG2343	1K8CV	5	universal	S	-	-	NTP_transf_9	Domain of unknown function (DUF427)	9	11
JALNIV010000041.1_14	COG2018	1X7Z5	5	universal	S	-	-	-	Roadblock/LC7 domain	1	2
JACWNS010000036.1_40	2ZT5X	1K842	5	universal	S	-	-	DUF2917	Protein of unknown function (DUF2917)	4	4
NZ_SUQM01000010.1_99	339NA	2VXR5	4	universal	S	-	-	DUF3613	Protein of unknown function (DUF3613)	10	10
NZ_CP062804.1_1227	COG5569	1K8P5	5	universal	S	-	-	CusF_Ec	Copper binding periplasmic protein CusF	10	11
NZ_CP062803.1_168	33UVU	2W2AQ	4	universal	S	-	-	DUF2917	Protein of unknown function (DUF2917)	1	1
NZ_CP010537.1_609	2ZCCI	1WZG2	5	universal	-	-	-	TrbC	-	1	1
NZ_CP010536.1_1640	33GCJ	373EZ	5	universal	S	-	-	DUF2591	Protein of unknown function (DUF2591)	1	1
NZ_JALNIQ010000022.1_21	30Y3R	1K8J7	5	universal	-	-	-	-	-	1	1
NZ_JACWNT010000002.1_166	COG2914	1K8N3	5	universal	S	-	ko:K09801	Ub-RnfH	Belongs to the UPF0125 (RnfH) family	10	10
NZ_CP034198.1_1859	30UCU	1K8FN	5	universal	-	-	-	-	-	3	3
JALNIV010000020.1_74	33XZB	1K8PV	5	universal	-	-	-	-	-	4	4
CP047136.1_1089	336EC	1K8EK	5	universal	-	-	-	-	-	2	2
NZ_CP010537.1_60	32S8H	2VT54	4	universal	-	-	-	-	-	4	5
NZ_JALNIT010000012.1_167	COG4925	1KEKG	5	universal	I	-	-	Cyclophil_like	sulfurtransferase activity	10	12
NZ_AAKL01000056.1_33	COG3450	1KIBS	5	universal	S	-	ko:K06995	Cupin_3	Protein of unknown function (DUF861)	18	25
NZ_JAMBNM010000012.1_51	33UWN	1KDCK	5	universal	-	-	-	-	-	1	1
NZ_CP010537.1_1969	COG4925	1SDSQ	4	universal	I	-	-	Cyclophil_like	sulfurtransferase activity	10	12
NZ_CP010536.1_3939	COG4859	1KDQB	5	universal	S	-	-	-	Psort location Cytoplasmic, score	3	3
NZ_CP010536.1_3765	32YPG	1K9YD	5	universal	-	-	-	-	-	2	3
NZ_CP010536.1_2122	COG1396	1KAB5	5	universal	K	-	-	HTH_31	Helix-turn-helix XRE-family like proteins	15	37
NZ_CP010536.1_1336	32VU6	2VUD4	4	universal	-	-	-	23S_rRNA_IVP	-	1	1
NZ_JACWOT010000008.1_50	329BS	1KANA	5	universal	-	-	-	-	-	3	3
NZ_PHHN01000021.1_24	3320V	1K8QZ	5	universal	-	-	-	-	-	4	4
NZ_LVKU01000117.1_25	324F0	1K9BV	5	universal	-	-	-	-	-	3	6
NZ_CDRX01000001.1_1572	3136C	1KBAW	5	universal	-	-	-	-	-	2	3
NZ_LZZU01000051.1_84	2ZQH7	1KF9A	5	universal	-	-	-	-	-	1	1
NZ_CP062804.1_655	33WN1	1KDN5	5	universal	-	-	-	-	-	1	1
NZ_CP010537.1_3025	COG1553	4AFYB	5	universal	P	-	ko:K06039	DrsE	DsrE/DsrF-like family	3	4
NZ_CP010537.1_1659	COG0642	2PU4U	5	universal	T	-	-	HATPase_c	Histidine kinase-like ATPases	5	7
NZ_CP010537.1_1349	COG3792	1SD5F	4	universal	S	-	-	DUF596	ORF located using Glimmer RBSfinder	1	1
NZ_JACWOT010000039.1_2	31TQC	1ZPHS	5	universal	-	-	-	-	-	1	1
NZ_CDLY01000001.1_959	33KGW	1K8UN	5	universal	-	-	-	-	-	4	4
CP047137.1_129	32PS0	1KF7H	5	universal	-	-	-	-	-	2	2
NZ_JAMBNM010000030.1_25	32S8H	2VTMR	4	universal	-	-	-	-	-	4	5
NZ_CP062803.1_874	COG2246	1KDG4	5	universal	S	-	-	GtrA	GtrA-like protein	7	11
NZ_CP010537.1_2989	COG0599	1KHC2	5	universal	O	-	-	CMD	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity	12	12
NZ_CP010536.1_3330	COG3794	1K8BA	5	universal	C	-	-	Copper-bind,Cupredoxin_1	PFAM blue (type 1) copper domain protein	7	7
NZ_CP010536.1_2159	COG4319	COG4319	2	universal	-	-	-	DUF4440,SnoaL_2,SnoaL_3	-	23	49
NZ_CP010536.1_2153	COG1504	1KDUX	5	universal	S	-	-	DUF498	Protein of unknown function (DUF498/DUF598)	1	1
NZ_CP034194.1_3567	2ZT37	1KEJT	5	universal	-	-	-	-	-	3	3
NZ_CDRJ01000001.1_2382	316UY	1K9YT	5	universal	-	-	-	-	-	3	3
NZ_JQSH01000031.1_32	31HTE	1KER2	5	universal	-	-	-	-	-	2	2
NZ_JQOI01000007.1_104	COG4737	1XR2K	5	universal	S	-	-	RelE	Cytotoxic translational repressor of toxin-antitoxin stability system	8	9
NZ_LZZU01000086.1_133	32Y5P	1K8JC	5	universal	S	-	-	DUF2007	Putative prokaryotic signal transducing protein	6	6
NZ_CP010536.1_3326	31792	1KAUF	5	universal	S	-	-	DUF4148	Domain of unknown function (DUF4148)	2	2
NZ_JALNIQ010000042.1_10	33AF4	1MTRT	5	universal	-	-	-	DUF2314	-	1	1
NZ_JACWPP010000007.1_60	32SUK	1K9V7	5	universal	S	-	-	2TM	2TM domain	3	3
NZ_JACWOG010000041.1_15	32CMD	1K7Q5	5	universal	S	-	-	DUF1488	Protein of unknown function (DUF1488)	3	3
NZ_LZZU01000012.1_55	33WQQ	1KDSQ	5	universal	-	-	-	-	-	1	1
NZ_CP062804.1_2370	COG1993	1K7XP	5	universal	S	-	-	DUF190	Uncharacterized ACR, COG1993	6	7
NZ_CP010536.1_2742	COG1343	1K9DA	5	universal	L	-	-	-	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette	5	5
NZ_JAMPLQ010000040.1_13	2ZKST	1KEZB	5	universal	S	-	-	DUF1484	Protein of unknown function (DUF1484)	4	13
NZ_JALNIP010000009.1_171	COG2863	1K90H	5	universal	C	-	-	Cytochrom_C,Cytochrome_CBB3	cytochrome	6	8
NZ_JACWOR010000027.1_48	33A3X	1KA4Y	5	universal	-	-	-	PXPV	-	6	9
NZ_JABZEJ010000001.1_1077	2ZKST	1KEZB	5	universal	S	-	-	DUF1484	Protein of unknown function (DUF1484)	4	13
NZ_PHHP01000037.1_11	COG5569	1K90V	5	universal	S	-	-	CusF_Ec	Copper binding periplasmic protein CusF	10	11
